session_id,charge_date,vehicle_model,region,driving_style,charger_type,battery_capacity_kwh,state_of_charge_start,state_of_charge_end,charging_power_kw,charging_duration_mins,energy_consumed_kwh,charging_cost_inr_per_kwh,efficiency_km_per_kwh,predicted_range_km,actual_range_km,vehicle_price_inr,cost_inr
EV0011,2026-05-10T04:19:00,Hyundai Kona,Mumbai,Normal,AC,39.2,39.0,84.3,3.3,324.7,17.61,7.52,6.26,206.9,215.1,2371000,132.43
EV0012,2026-03-17T11:28:00,Tata Nexon EV,Mumbai,Normal,AC,40.5,19.3,95.5,7.2,259.5,30.44,7.41,6.43,249.0,220.1,1450000,225.56
EV0013,2026-03-29T06:01:00,MG ZS EV,Bengaluru,Normal,AC,50.3,52.3,87.0,7.2,136.1,16.14,11.48,5.89,257.7,240.0,1899000,185.29
EV0014,2026-02-27T02:36:00,Mahindra XUV400,Pune,Eco,AC,39.4,35.8,68.6,7.2,110.6,12.69,8.15,7.35,198.5,193.0,1599000,103.42
EV0015,2026-01-07T21:15:00,MG ZS EV,Pune,Normal,AC,50.3,27.9,92.4,7.2,284.8,33.36,7.82,6.1,283.6,271.3,1899000,260.88
EV0016,2026-03-26T07:01:00,Mahindra XUV400,Mumbai,Eco,AC,39.4,30.7,97.7,22.0,77.0,26.57,10.31,6.77,260.6,255.6,1599000,273.94
EV0017,2026-03-09T17:10:00,Hyundai Kona,Bengaluru,Eco,AC,39.2,44.1,73.7,7.2,101.3,11.09,11.37,7.22,208.3,199.0,2371000,126.09
EV0018,2026-02-20T03:01:00,Hyundai Kona,Mumbai,Eco,AC,39.2,25.3,90.7,7.2,213.9,25.25,7.61,6.8,241.6,251.8,2371000,192.15
EV0019,2026-04-02T23:18:00,MG ZS EV,Hyderabad,Normal,AC,50.3,37.0,71.6,22.0,46.9,17.2,10.31,6.01,216.4,203.0,1899000,177.33
EV0020,2026-05-15T10:00:00,Hyundai Kona,Pune,Sport,AC,39.2,24.3,95.5,22.0,80.1,27.69,9.98,4.95,185.5,179.9,2371000,276.35
EV0021,2026-06-17T08:31:00,Tata Nexon EV,Mumbai,Sport,AC,40.5,32.1,90.9,3.3,439.6,24.08,11.34,5.3,195.1,165.2,1450000,273.07
EV0022,2026-02-18T05:59:00,BYD Atto 3,Mumbai,Normal,AC,60.5,29.7,77.3,22.0,80.4,29.94,11.08,5.32,249.1,269.6,2499000,331.74
EV0023,2026-01-19T03:17:00,Mahindra XUV400,Chennai,Eco,AC,39.4,37.6,69.8,7.2,115.6,13.48,7.58,7.04,193.7,191.6,1599000,102.18
EV0024,2026-06-27T12:44:00,Tata Nexon EV,Pune,Eco,AC,40.5,14.4,70.8,22.0,68.1,22.39,11.26,7.07,202.6,199.4,1450000,252.11
EV0025,2026-01-08T02:03:00,Hyundai Kona,Chennai,Eco,AC,39.2,22.2,73.2,7.2,177.7,21.11,7.5,6.36,182.6,188.2,2371000,158.32
EV0026,2026-05-29T12:19:00,Mahindra XUV400,Chennai,Sport,AC,39.4,50.8,97.4,22.0,53.4,18.07,11.29,5.22,200.5,192.3,1599000,204.01
EV0027,2026-03-25T12:21:00,Mahindra XUV400,Mumbai,Normal,AC,39.4,39.5,73.8,7.2,116.1,13.34,8.9,6.79,197.4,173.8,1599000,118.73
EV0028,2026-03-30T15:12:00,MG ZS EV,Pune,Normal,AC,50.3,24.8,96.3,7.2,313.5,36.72,9.66,6.12,296.4,314.5,1899000,354.72
EV0029,2026-04-24T14:43:00,BYD Atto 3,Chennai,Eco,DC Fast,60.5,43.6,71.7,50.0,25.2,17.45,11.68,6.48,281.0,282.8,2499000,203.82
EV0030,2026-05-10T14:03:00,Tata Nexon EV,Hyderabad,Eco,AC,40.5,53.2,93.1,22.0,48.2,16.99,10.08,6.7,252.5,244.1,1450000,171.26
EV0031,2026-01-31T03:55:00,Tata Nexon EV,Pune,Normal,AC,40.5,36.6,80.4,22.0,54.1,17.91,7.59,6.97,227.0,193.3,1450000,135.94
EV0032,2026-04-25T06:47:00,Tata Nexon EV,Bengaluru,Eco,AC,40.5,40.3,78.8,22.0,48.9,15.29,8.57,7.09,226.4,221.4,1450000,131.04
EV0033,2026-01-29T14:28:00,MG ZS EV,Hyderabad,Eco,AC,50.3,52.3,83.5,22.0,44.5,15.66,11.93,6.24,262.2,255.9,1899000,186.82
EV0034,2026-04-09T00:05:00,MG ZS EV,Chennai,Normal,AC,50.3,52.9,75.9,22.0,32.1,12.5,11.13,6.43,245.5,230.7,1899000,139.12
EV0035,2026-02-23T16:17:00,Hyundai Kona,Mumbai,Normal,AC,39.2,31.0,75.0,22.0,47.6,17.54,7.53,5.56,163.3,158.0,2371000,132.08
EV0036,2026-06-03T18:48:00,Mahindra XUV400,Hyderabad,Sport,DC Fast,39.4,40.6,86.5,50.0,27.8,18.54,11.55,5.12,174.5,166.7,1599000,214.14
EV0037,2026-04-29T16:48:00,MG ZS EV,Pune,Eco,DC Fast,50.3,12.2,66.7,50.0,30.1,25.49,10.86,5.8,194.6,180.5,1899000,276.82
EV0038,2026-01-16T20:26:00,Mahindra XUV400,Hyderabad,Normal,AC,39.4,48.0,69.2,7.2,71.4,8.13,10.67,6.68,182.3,176.9,1599000,86.75
EV0039,2026-02-04T11:42:00,Tata Nexon EV,Chennai,Eco,AC,40.5,42.5,97.3,3.3,385.0,21.13,7.46,7.17,282.7,270.7,1450000,157.63
EV0040,2026-04-08T07:25:00,Tata Nexon EV,Chennai,Eco,AC,40.5,54.1,85.1,22.0,39.7,12.72,10.5,7.13,245.8,255.1,1450000,133.56
EV0041,2026-04-27T02:18:00,MG ZS EV,Mumbai,Sport,AC,50.3,18.4,81.8,7.2,279.2,32.28,10.05,5.06,208.0,202.5,1899000,324.41
EV0042,2026-03-27T11:08:00,Hyundai Kona,Bengaluru,Normal,AC,39.2,29.7,78.5,22.0,49.9,18.06,9.86,6.07,186.8,177.3,2371000,178.07
EV0043,2026-04-12T12:21:00,MG ZS EV,Pune,Normal,AC,50.3,39.9,86.5,22.0,72.6,23.98,10.68,5.69,247.7,239.1,1899000,256.11
EV0044,2026-06-06T20:49:00,Hyundai Kona,Hyderabad,Sport,AC,39.2,51.6,84.9,22.0,40.7,12.97,8.4,5.01,166.7,166.9,2371000,108.95
EV0045,2026-03-02T05:36:00,Hyundai Kona,Mumbai,Eco,DC Fast,39.2,25.5,89.5,50.0,29.3,24.8,8.82,7.11,249.4,252.9,2371000,218.74
EV0046,2026-03-02T00:40:00,Tata Nexon EV,Bengaluru,Sport,AC,40.5,54.8,92.7,22.0,40.4,15.05,9.63,5.39,202.3,196.3,1450000,144.93
EV0047,2026-01-30T20:23:00,Hyundai Kona,Bengaluru,Eco,DC Fast,39.2,48.0,97.7,50.0,30.6,18.83,10.78,6.64,254.2,264.9,2371000,202.99
EV0048,2026-02-04T11:59:00,Tata Nexon EV,Chennai,Normal,DC Fast,40.5,32.2,70.0,50.0,23.1,14.8,9.47,6.04,171.2,171.2,1450000,140.16
EV0049,2026-01-16T17:32:00,Tata Nexon EV,Pune,Eco,AC,40.5,48.3,87.2,22.0,46.3,15.68,11.22,7.08,250.3,227.6,1450000,175.93
EV0050,2026-04-15T11:50:00,MG ZS EV,Chennai,Normal,DC Fast,50.3,45.1,93.1,50.0,30.7,24.11,7.52,5.72,268.0,240.3,1899000,181.31
EV0051,2026-03-13T10:18:00,Tata Nexon EV,Hyderabad,Sport,AC,40.5,39.1,70.9,7.2,114.0,13.26,7.04,5.3,152.1,151.3,1450000,93.35
EV0052,2026-04-03T17:17:00,Hyundai Kona,Pune,Eco,AC,39.2,42.2,85.9,22.0,52.1,16.25,10.91,6.62,222.9,219.6,2371000,177.29
EV0053,2026-06-06T19:44:00,Hyundai Kona,Pune,Eco,AC,39.2,43.5,79.5,22.0,46.2,13.71,8.73,6.33,197.3,193.1,2371000,119.69
EV0054,2026-01-14T19:38:00,BYD Atto 3,Hyderabad,Eco,DC Fast,60.5,13.8,90.7,50.0,59.5,45.67,9.78,5.66,310.7,308.6,2499000,446.65
EV0055,2026-05-25T15:46:00,Hyundai Kona,Hyderabad,Sport,AC,39.2,47.4,68.5,3.3,142.6,7.8,10.7,5.26,141.3,125.3,2371000,83.46
EV0056,2026-04-06T00:45:00,Mahindra XUV400,Chennai,Sport,DC Fast,39.4,14.1,72.7,50.0,33.2,24.28,11.48,5.36,153.5,142.9,1599000,278.73
EV0057,2026-05-01T13:53:00,BYD Atto 3,Pune,Eco,AC,60.5,48.7,78.9,7.2,164.1,19.91,7.42,6.07,289.7,275.0,2499000,147.73
EV0058,2026-02-03T23:51:00,Tata Nexon EV,Mumbai,Normal,AC,40.5,42.9,91.6,7.2,179.5,21.18,9.98,6.46,239.7,239.4,1450000,211.38
EV0059,2026-03-12T23:38:00,Tata Nexon EV,Pune,Sport,AC,40.5,33.4,69.4,3.3,286.8,15.46,9.1,5.54,155.7,142.9,1450000,140.69
EV0060,2026-02-25T12:59:00,MG ZS EV,Mumbai,Sport,DC Fast,50.3,44.3,82.8,50.0,21.9,19.14,9.95,4.67,194.8,193.1,1899000,190.44
EV0061,2026-04-28T14:47:00,BYD Atto 3,Mumbai,Eco,DC Fast,60.5,22.4,75.6,50.0,44.3,32.62,9.38,6.27,287.0,283.1,2499000,305.98
EV0062,2026-03-18T15:19:00,Hyundai Kona,Pune,Sport,AC,39.2,41.0,91.9,22.0,56.0,19.59,9.56,5.39,194.3,203.5,2371000,187.28
EV0063,2026-03-19T18:18:00,Mahindra XUV400,Hyderabad,Eco,AC,39.4,53.3,75.8,7.2,73.1,8.64,7.56,6.52,194.9,185.9,1599000,65.32
EV0064,2026-02-22T02:24:00,Tata Nexon EV,Pune,Normal,AC,40.5,14.6,88.0,7.2,243.3,28.79,7.01,6.69,238.5,230.0,1450000,201.82
EV0065,2026-04-02T21:28:00,Tata Nexon EV,Pune,Normal,DC Fast,40.5,26.3,79.2,50.0,29.1,21.17,8.14,6.83,219.2,184.0,1450000,172.32
EV0066,2026-01-04T22:05:00,BYD Atto 3,Hyderabad,Normal,AC,60.5,52.0,73.3,22.0,37.9,12.36,7.94,5.84,258.9,247.2,2499000,98.14
EV0067,2026-01-06T12:37:00,Mahindra XUV400,Chennai,Eco,AC,39.4,38.7,73.0,22.0,36.8,14.08,10.86,6.83,196.5,199.7,1599000,152.91
EV0068,2026-01-27T07:32:00,Tata Nexon EV,Mumbai,Sport,AC,40.5,22.9,95.3,22.0,86.5,28.28,10.0,5.74,221.6,202.6,1450000,282.8
EV0069,2026-02-08T20:42:00,MG ZS EV,Bengaluru,Normal,AC,50.3,25.7,67.6,7.2,182.1,21.34,8.59,5.85,198.8,177.9,1899000,183.31
EV0070,2026-02-17T00:55:00,BYD Atto 3,Hyderabad,Sport,AC,60.5,37.5,69.2,22.0,57.7,19.27,11.97,4.8,200.9,179.5,2499000,230.66
EV0071,2026-04-16T03:17:00,Hyundai Kona,Bengaluru,Eco,AC,39.2,50.6,94.7,22.0,50.4,17.18,11.18,6.47,240.3,215.3,2371000,192.07
EV0072,2026-05-16T16:31:00,BYD Atto 3,Mumbai,Eco,AC,60.5,37.6,72.6,7.2,184.3,21.95,9.83,5.86,257.3,253.2,2499000,215.77
EV0073,2026-05-17T18:53:00,MG ZS EV,Mumbai,Sport,AC,50.3,30.0,82.0,22.0,75.5,25.95,10.41,4.93,203.1,189.0,1899000,270.14
EV0074,2026-06-08T17:38:00,MG ZS EV,Pune,Eco,DC Fast,50.3,53.3,77.7,50.0,20.4,12.89,8.9,6.14,240.2,203.8,1899000,114.72
EV0075,2026-04-04T12:05:00,Hyundai Kona,Hyderabad,Normal,AC,39.2,43.4,90.8,3.3,359.1,19.6,10.72,5.99,213.3,195.3,2371000,210.11
EV0076,2026-04-13T13:23:00,MG ZS EV,Chennai,Eco,DC Fast,50.3,54.1,83.1,50.0,23.0,15.49,10.01,6.59,275.4,313.9,1899000,155.05
EV0077,2026-06-18T00:57:00,Hyundai Kona,Mumbai,Normal,AC,39.2,20.5,77.4,7.2,193.0,22.56,7.49,6.32,191.8,164.7,2371000,168.97
EV0078,2026-01-24T01:00:00,MG ZS EV,Chennai,Normal,AC,50.3,49.9,77.7,7.2,122.8,14.4,11.8,5.84,228.3,219.8,1899000,169.92
EV0079,2026-04-28T14:58:00,MG ZS EV,Bengaluru,Normal,AC,50.3,16.8,73.3,22.0,80.9,28.23,7.36,6.06,223.6,227.4,1899000,207.77
EV0080,2026-01-15T06:27:00,Mahindra XUV400,Hyderabad,Eco,DC Fast,39.4,25.1,83.2,50.0,26.6,20.91,11.26,6.63,217.6,205.1,1599000,235.45
EV0081,2026-04-16T09:07:00,MG ZS EV,Bengaluru,Normal,AC,50.3,24.7,77.3,22.0,76.6,26.78,7.5,6.43,249.8,232.5,1899000,200.85
EV0082,2026-04-14T20:44:00,Mahindra XUV400,Bengaluru,Eco,AC,39.4,48.4,73.7,7.2,86.4,10.11,9.65,7.11,206.4,212.3,1599000,97.56
EV0083,2026-02-14T09:32:00,BYD Atto 3,Pune,Eco,AC,60.5,18.9,96.0,22.0,131.2,46.83,7.66,6.68,387.9,370.7,2499000,358.72
EV0084,2026-06-07T00:22:00,Hyundai Kona,Hyderabad,Eco,AC,39.2,52.9,85.0,7.2,116.6,13.3,11.58,6.35,211.6,203.2,2371000,154.01
EV0085,2026-02-27T08:28:00,Tata Nexon EV,Pune,Normal,AC,40.5,32.0,78.2,7.2,149.3,18.49,11.6,6.61,209.4,160.1,1450000,214.48
EV0086,2026-02-07T22:31:00,Tata Nexon EV,Chennai,Normal,AC,40.5,14.2,76.3,22.0,71.5,24.74,10.2,6.62,204.5,215.6,1450000,252.35
EV0087,2026-01-01T03:55:00,BYD Atto 3,Mumbai,Sport,AC,60.5,24.1,67.0,7.2,226.8,26.84,10.63,4.77,193.3,188.9,2499000,285.31
EV0088,2026-06-27T20:35:00,MG ZS EV,Hyderabad,Normal,DC Fast,50.3,40.4,84.8,50.0,26.6,22.69,9.25,6.06,258.5,259.9,1899000,209.88
EV0089,2026-06-10T09:24:00,MG ZS EV,Pune,Normal,AC,50.3,54.6,87.1,7.2,142.0,16.03,10.6,6.48,284.0,294.6,1899000,169.92
EV0090,2026-05-29T02:19:00,Hyundai Kona,Mumbai,Normal,AC,39.2,51.0,82.3,7.2,104.9,12.25,10.28,6.38,205.8,198.6,2371000,125.93
EV0091,2026-04-30T20:16:00,BYD Atto 3,Mumbai,Eco,DC Fast,60.5,26.0,71.5,50.0,33.3,27.04,8.42,5.87,254.2,246.0,2499000,227.68
EV0092,2026-02-25T15:03:00,Tata Nexon EV,Bengaluru,Normal,AC,40.5,51.1,76.6,22.0,31.6,10.52,11.88,5.86,181.8,175.8,1450000,124.98
EV0093,2026-03-13T07:19:00,Hyundai Kona,Pune,Normal,AC,39.2,13.0,78.2,22.0,72.0,25.56,9.45,6.42,197.0,197.4,2371000,241.54
EV0094,2026-06-29T18:13:00,Hyundai Kona,Mumbai,Normal,DC Fast,39.2,26.4,73.1,50.0,22.7,17.96,9.4,6.32,181.1,162.4,2371000,168.82
EV0095,2026-03-24T06:51:00,BYD Atto 3,Chennai,Eco,AC,60.5,39.7,74.5,22.0,61.2,21.15,7.04,6.56,295.8,278.0,2499000,148.9
EV0096,2026-02-21T04:56:00,Tata Nexon EV,Hyderabad,Normal,AC,40.5,46.3,92.9,22.0,52.0,18.83,9.11,6.43,242.0,212.4,1450000,171.54
EV0097,2026-04-22T10:06:00,Hyundai Kona,Mumbai,Sport,AC,39.2,54.2,75.8,22.0,27.2,8.45,7.88,5.23,155.6,146.6,2371000,66.59
EV0098,2026-05-04T17:07:00,Mahindra XUV400,Pune,Normal,AC,39.4,35.7,81.5,22.0,52.6,18.54,8.59,6.65,213.5,224.6,1599000,159.26
EV0099,2026-03-25T09:19:00,MG ZS EV,Bengaluru,Normal,AC,50.3,14.2,87.2,22.0,96.2,35.3,11.01,5.79,253.7,263.0,1899000,388.65
EV0100,2026-04-02T01:13:00,BYD Atto 3,Hyderabad,Normal,AC,60.5,50.4,74.4,3.3,267.3,14.54,9.18,5.79,260.5,237.3,2499000,133.48
EV0101,2026-05-20T10:49:00,Mahindra XUV400,Hyderabad,Eco,AC,39.4,40.0,92.2,7.2,168.2,20.46,8.97,6.53,237.1,225.4,1599000,183.53
EV0102,2026-04-23T05:38:00,Tata Nexon EV,Mumbai,Normal,AC,40.5,23.1,89.8,22.0,82.7,26.95,7.59,5.82,211.8,181.1,1450000,204.55
EV0103,2026-01-16T22:23:00,BYD Atto 3,Hyderabad,Eco,DC Fast,60.5,19.5,92.2,50.0,57.9,44.22,11.88,6.0,334.6,335.7,2499000,525.33
EV0104,2026-03-11T19:22:00,Mahindra XUV400,Mumbai,Sport,AC,39.4,20.3,72.3,7.2,168.1,20.23,7.13,5.06,144.0,132.2,1599000,144.24
EV0105,2026-01-09T18:16:00,Hyundai Kona,Hyderabad,Normal,AC,39.2,32.9,73.6,22.0,41.2,15.39,8.57,5.99,172.7,168.1,2371000,131.89
EV0106,2026-06-01T21:05:00,Hyundai Kona,Chennai,Normal,AC,39.2,41.1,67.2,7.2,88.2,10.22,9.38,6.3,166.0,165.7,2371000,95.86
EV0107,2026-06-18T02:25:00,Mahindra XUV400,Chennai,Eco,AC,39.4,21.3,84.3,22.0,73.3,23.78,7.67,6.48,215.3,192.1,1599000,182.39
EV0108,2026-05-25T21:01:00,Tata Nexon EV,Pune,Sport,AC,40.5,25.8,76.9,7.2,172.1,20.07,7.5,5.68,176.8,165.9,1450000,150.52
EV0109,2026-01-20T10:02:00,BYD Atto 3,Bengaluru,Eco,AC,60.5,38.6,69.0,22.0,60.3,19.23,8.62,6.27,261.8,263.9,2499000,165.76
EV0110,2026-05-24T14:28:00,Hyundai Kona,Hyderabad,Sport,DC Fast,39.2,36.8,91.6,50.0,25.7,21.07,8.61,5.23,187.7,184.5,2371000,181.41
EV0111,2026-02-04T19:55:00,MG ZS EV,Mumbai,Eco,AC,50.3,49.2,86.2,7.2,171.1,19.68,8.65,6.5,281.8,265.5,1899000,170.23
EV0112,2026-04-06T02:18:00,MG ZS EV,Hyderabad,Normal,AC,50.3,36.4,80.2,22.0,62.9,22.27,10.62,6.21,250.6,241.3,1899000,236.51
EV0113,2026-03-12T23:03:00,Mahindra XUV400,Mumbai,Eco,DC Fast,39.4,36.2,89.9,50.0,31.3,21.09,8.96,7.0,248.1,247.6,1599000,188.97
EV0114,2026-01-28T20:14:00,Mahindra XUV400,Chennai,Sport,AC,39.4,36.9,65.2,22.0,34.8,10.9,9.33,5.24,134.5,138.6,1599000,101.7
EV0115,2026-01-01T03:29:00,Hyundai Kona,Bengaluru,Normal,AC,39.2,26.2,94.0,22.0,82.1,28.43,11.83,6.08,223.9,211.2,2371000,336.33
EV0116,2026-02-14T13:38:00,Hyundai Kona,Pune,Sport,DC Fast,39.2,48.8,74.3,50.0,10.0,9.65,10.04,5.35,155.8,156.8,2371000,96.89
EV0117,2026-03-18T01:01:00,Mahindra XUV400,Pune,Normal,DC Fast,39.4,30.0,68.9,50.0,24.1,15.78,9.32,6.46,175.4,187.0,1599000,147.07
EV0118,2026-06-17T05:26:00,Hyundai Kona,Hyderabad,Normal,AC,39.2,19.0,87.1,22.0,77.4,26.65,7.94,6.47,220.8,216.6,2371000,211.6
EV0119,2026-03-03T21:38:00,Hyundai Kona,Bengaluru,Eco,DC Fast,39.2,52.7,83.0,50.0,19.8,12.02,9.16,6.89,224.2,249.8,2371000,110.1
EV0120,2026-03-11T01:18:00,Hyundai Kona,Pune,Eco,AC,39.2,35.0,97.8,3.3,485.6,26.61,11.19,6.97,267.3,256.3,2371000,297.77
EV0121,2026-01-22T23:03:00,Mahindra XUV400,Hyderabad,Eco,DC Fast,39.4,47.9,72.6,50.0,14.3,9.6,8.55,6.73,192.4,181.6,1599000,82.08
EV0122,2026-04-22T20:21:00,Mahindra XUV400,Pune,Eco,DC Fast,39.4,24.3,96.8,50.0,42.8,29.9,7.63,6.34,241.9,244.4,1599000,228.14
EV0123,2026-05-24T06:21:00,Mahindra XUV400,Hyderabad,Normal,AC,39.4,35.4,94.7,22.0,62.4,24.57,7.45,6.21,231.6,221.4,1599000,183.05
EV0124,2026-02-20T23:49:00,MG ZS EV,Bengaluru,Eco,AC,50.3,45.5,80.0,22.0,48.6,16.94,9.58,6.61,266.2,229.5,1899000,162.29
EV0125,2026-06-18T06:32:00,BYD Atto 3,Mumbai,Sport,AC,60.5,22.2,66.6,3.3,487.8,26.7,8.01,4.94,199.0,194.9,2499000,213.87
EV0126,2026-04-22T22:50:00,BYD Atto 3,Bengaluru,Sport,AC,60.5,38.6,93.5,7.2,290.7,34.71,10.85,5.27,298.1,304.0,2499000,376.6
EV0127,2026-04-08T17:56:00,Tata Nexon EV,Mumbai,Eco,AC,40.5,25.8,86.6,7.2,205.3,23.82,7.54,7.23,253.3,254.9,1450000,179.6
EV0128,2026-06-25T01:44:00,Tata Nexon EV,Chennai,Normal,DC Fast,40.5,34.3,81.8,50.0,23.0,18.91,8.14,6.83,226.1,209.9,1450000,153.93
EV0129,2026-04-25T17:46:00,BYD Atto 3,Pune,Eco,AC,60.5,54.2,85.4,7.2,158.4,18.65,10.19,6.3,325.2,312.0,2499000,190.04
EV0130,2026-04-24T19:22:00,Hyundai Kona,Chennai,Sport,AC,39.2,39.1,76.5,22.0,42.2,14.82,10.68,5.01,150.1,148.7,2371000,158.28
EV0131,2026-03-24T13:06:00,Hyundai Kona,Hyderabad,Eco,AC,39.2,44.0,69.3,22.0,25.3,10.3,7.77,6.64,180.4,172.5,2371000,80.03
EV0132,2026-05-22T11:48:00,Mahindra XUV400,Hyderabad,Eco,AC,39.4,24.5,82.5,22.0,68.8,22.92,8.37,6.56,213.0,215.9,1599000,191.84
EV0133,2026-02-25T04:26:00,MG ZS EV,Chennai,Eco,AC,50.3,35.7,88.3,7.2,222.7,26.13,8.2,6.14,272.8,273.9,1899000,214.27
EV0134,2026-03-07T03:00:00,Mahindra XUV400,Chennai,Normal,AC,39.4,19.6,80.4,7.2,207.1,24.39,8.51,6.87,217.6,211.5,1599000,207.56
EV0135,2026-03-08T10:53:00,Mahindra XUV400,Pune,Eco,AC,39.4,44.8,95.7,22.0,55.4,20.96,10.96,6.42,241.9,196.8,1599000,229.72
EV0136,2026-04-26T20:59:00,Mahindra XUV400,Hyderabad,Normal,AC,39.4,15.5,65.5,7.2,157.7,18.24,8.13,6.39,164.9,168.0,1599000,148.29
EV0137,2026-05-23T15:56:00,Tata Nexon EV,Chennai,Sport,AC,40.5,54.8,95.0,7.2,139.4,16.16,9.79,5.43,209.2,217.6,1450000,158.21
EV0138,2026-05-01T04:44:00,MG ZS EV,Hyderabad,Eco,DC Fast,50.3,19.3,71.4,50.0,33.6,25.56,11.06,6.08,218.4,203.2,1899000,282.69
EV0139,2026-02-17T00:25:00,Mahindra XUV400,Pune,Sport,AC,39.4,18.0,87.4,7.2,220.6,26.22,8.27,5.01,172.6,168.1,1599000,216.84
EV0140,2026-06-08T00:12:00,Hyundai Kona,Bengaluru,Normal,AC,39.2,45.2,77.6,7.2,104.6,12.06,9.59,6.49,197.3,166.4,2371000,115.66
EV0141,2026-05-26T17:51:00,BYD Atto 3,Chennai,Eco,AC,60.5,29.0,89.7,7.2,281.8,33.69,10.45,6.03,327.1,290.7,2499000,352.06
EV0142,2026-03-16T11:07:00,BYD Atto 3,Bengaluru,Sport,AC,60.5,29.7,78.3,7.2,247.9,29.65,7.93,4.78,226.3,232.5,2499000,235.12
EV0143,2026-03-25T00:56:00,Hyundai Kona,Chennai,Eco,AC,39.2,46.2,95.1,7.2,160.6,18.89,8.12,6.68,249.1,241.4,2371000,153.39
EV0144,2026-04-21T20:14:00,Hyundai Kona,Pune,Sport,AC,39.2,29.2,66.2,22.0,46.6,14.79,8.14,5.48,142.2,138.7,2371000,120.39
EV0145,2026-01-10T23:26:00,Hyundai Kona,Hyderabad,Sport,AC,39.2,25.1,85.4,7.2,202.8,23.75,9.64,5.46,182.9,158.7,2371000,228.95
EV0146,2026-04-01T13:51:00,Mahindra XUV400,Bengaluru,Normal,AC,39.4,47.3,90.3,3.3,302.7,16.68,10.93,6.32,224.7,215.3,1599000,182.31
EV0147,2026-06-14T19:55:00,Mahindra XUV400,Hyderabad,Eco,AC,39.4,43.7,87.4,7.2,147.5,17.08,8.76,6.27,215.7,217.0,1599000,149.62
EV0148,2026-04-19T09:36:00,Mahindra XUV400,Pune,Normal,AC,39.4,32.4,97.6,7.2,212.8,25.06,11.42,6.38,245.2,227.2,1599000,286.19
EV0149,2026-02-24T07:33:00,BYD Atto 3,Mumbai,Normal,DC Fast,60.5,26.5,85.0,50.0,46.2,35.86,7.28,5.32,273.4,248.4,2499000,261.06
EV0150,2026-02-10T17:44:00,Hyundai Kona,Pune,Normal,DC Fast,39.2,49.2,70.1,50.0,12.2,8.15,8.08,5.76,158.3,140.7,2371000,65.85
EV0151,2026-04-06T22:31:00,Hyundai Kona,Hyderabad,Normal,DC Fast,39.2,22.6,72.6,50.0,26.2,19.76,9.25,6.24,177.6,148.7,2371000,182.78
EV0152,2026-01-31T21:40:00,Hyundai Kona,Pune,Normal,AC,39.2,20.7,94.3,7.2,241.6,28.28,8.66,6.17,228.0,207.4,2371000,244.9
EV0153,2026-01-31T17:34:00,Mahindra XUV400,Hyderabad,Eco,DC Fast,39.4,15.9,69.0,50.0,31.9,20.43,10.15,6.83,185.7,169.6,1599000,207.36
EV0154,2026-03-17T19:46:00,BYD Atto 3,Bengaluru,Sport,AC,60.5,39.5,82.2,7.2,211.5,24.57,7.77,4.49,223.5,213.4,2499000,190.91
